1	тебе	ты	PRON	_	Case=Dat|Number=Sing|Person=2	2	iobj	_	@yad1986m-words#@yad1986m#5860.408#5860.672
2	двадцать	двадцать	NUM	_	Case=Nom	3	nummod:gov	_	@yad1986m-words#@yad1986m#5860.672#5860.936
3	четыре	четыре	NUM	_	Case=Nom	5	nummod:gov	_	@yad1986m-words#@yad1986m#5860.936#5861.2
4	?	?	PUNCT	_	_	3	punct	_	@yad1986m-words#@yad1986m#5861.2#5861.467
5	аа	а	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	10	nsubj	_	@yad1986m-words#@yad1986m#5862.005#5862.814
6	супер	супер	NOUN	_	Animacy=Anim|Case=Nom|Gender=Fem|Number=Sing	5	nmod	_	@yad1986m-words#@yad1986m#5864.196#5864.673
7	/	/	PUNCT	_	_	6	punct	_	@yad1986m-words#@yad1986m#5864.682#5865.08
8	самая	самый	ADJ	_	Case=Nom|Degree=Pos|Gender=Fem|Number=Sing	9	amod	_	@yad1986m-words#@yad1986m#5865.087#5865.34
9	самая	самый	ADJ	_	Case=Nom|Degree=Pos|Gender=Fem|Number=Sing	10	obj	_	@yad1986m-words#@yad1986m#5865.34#5865.593
10	вышла	выйти	VERB	_	Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	0	root	_	@yad1986m-words#@yad1986m#5865.593#5865.846
11	когда	когда	SCONJ	_	_	13	mark	_	@yad1986m-words#@yad1986m#5865.846#5866.099
12	тебе	ты	PRON	_	Case=Dat|Number=Sing|Person=2	10	iobj	_	@yad1986m-words#@yad1986m#5866.099#5866.352
13	было	быть	VERB	_	Aspect=Imp|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	10	advcl	_	@yad1986m-words#@yad1986m#5866.352#5866.605
14	девятнадцать	девятнадцать	NUM	_	Case=Nom	21	nummod:gov	_	@yad1986m-words#@yad1986m#5866.605#5866.858
15	?	?	PUNCT	_	_	14	punct	_	@yad1986m-words#@yad1986m#5866.858#5867.112
16	ну	ну	PART	_	_	17	parataxis	_	@yad1986m-words#@yad1986m#5869.26#5869.508
17	короче	короткий	ADV	_	Degree=Cmp	21	obl	_	@yad1986m-words#@yad1986m#5869.508#5869.756
18	пять	пять	NUM	_	Case=Acc	19	nummod:gov	_	@yad1986m-words#@yad1986m#5869.756#5870.004
19	лет	год	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Plur	17	obl	_	@yad1986m-words#@yad1986m#5870.004#5870.255
20	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	21	nsubj	_	@yad1986m-words#@yad1986m#5870.303#5870.809
21	ээ	ээ	NOUN	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	10	nsubj	_	@yad1986m-words#@yad1986m#5870.818#5871.261
22	из	из	ADP	_	_	24	case	_	@yad1986m-words#@yad1986m#5871.261#5871.626
23	каждого	каждый	DET	_	Case=Gen|Gender=Masc|Number=Sing	24	det	_	@yad1986m-words#@yad1986m#5871.626#5871.991
24	утюга	утюг	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	27	obl	_	@yad1986m-words#@yad1986m#5871.991#5872.356
25	уже	уже	ADV	_	Degree=Pos	26	obl	_	@yad1986m-words#@yad1986m#5872.356#5872.723
26	ээ	ээ	NOUN	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	27	nsubj	_	@yad1986m-words#@yad1986m#5872.728#5873.778
27	брынчишь	брынчать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	21	parataxis	_	@yad1986m-words#@yad1986m#5873.779#5874.053
28	в	в	ADP	_	_	29	case	_	@yad1986m-words#@yad1986m#5874.053#5874.327
